speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,subnational2Code,subnational2Name,subnational1Code,subnational1Name,countryCode,countryName,userDisplayName,obsId,checklistId,presenceNoted,hasComments,firstName,lastName,hasRichMedia,exoticCategory
rethaw,Red-tailed Hawk,Buteo jamaicensis,L2987624,McGolrick Park,2024-01-05 12:56:00,,40.7245046,-73.9433616,True,False,False,S158156534,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1916273106,CL23822,False,False,Michael,Lombardo,False,
yebsap,Yellow-bellied Sapsucker,Sphyrapicus varius,L2987624,McGolrick Park,2024-01-05 09:14:00,,40.7245046,-73.9433616,True,False,False,S158138177,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1916093550,CL23822,False,False,Michael,Lombardo,False,
amecro,American Crow,Corvus brachyrhynchos,L2987624,McGolrick Park,2024-01-05 09:14:00,,40.7245046,-73.9433616,True,False,False,S158138177,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1916093549,CL23822,False,False,Michael,Lombardo,False,
amerob,American Robin,Turdus migratorius,L2987624,McGolrick Park,2024-01-05 09:14:00,,40.7245046,-73.9433616,True,False,False,S158138177,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1916093546,CL23822,False,False,Michael,Lombardo,False,
rocpig,Rock Pigeon,Columba livia,L2987624,McGolrick Park,2024-01-05 08:47:00,,40.7245046,-73.9433616,True,False,False,S158136646,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1916092245,CL23822,True,False,Greg,Thornberg,False,N
eursta,European Starling,Sturnus vulgaris,L2987624,McGolrick Park,2024-01-05 08:47:00,,40.7245046,-73.9433616,True,False,False,S158136646,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1916092244,CL23822,True,False,Greg,Thornberg,False,N
houspa,House Sparrow,Passer domesticus,L2987624,McGolrick Park,2024-01-05 08:47:00,,40.7245046,-73.9433616,True,False,False,S158136646,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1916092243,CL23822,True,False,Greg,Thornberg,False,N
whtspa,White-throated Sparrow,Zonotrichia albicollis,L2987624,McGolrick Park,2024-01-05 08:47:00,,40.7245046,-73.9433616,True,False,False,S158136646,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1916092242,CL23822,True,False,Greg,Thornberg,False,
coohaw,Cooper's Hawk,Astur cooperii,L2987624,McGolrick Park,2024-01-05 07:15:00,,40.7245046,-73.9433616,True,False,False,S158130230,US-NY-047,Kings,US-NY,New York,US,United States,Emily Diamond,OBS1916029686,CL23822,False,False,Emily,Diamond,False,
rocpig,Rock Pigeon,Columba livia,L2987624,McGolrick Park,2024-01-06 09:10:00,,40.7245046,-73.9433616,True,False,False,S158247345,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1917095774,CL23822,True,False,Greg,Thornberg,False,N
moudov,Mourning Dove,Zenaida macroura,L2987624,McGolrick Park,2024-01-06 09:10:00,,40.7245046,-73.9433616,True,False,False,S158247345,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1917095781,CL23822,False,False,Greg,Thornberg,False,
amhgul1,American Herring Gull,Larus smithsonianus,L2987624,McGolrick Park,2024-01-06 09:10:00,,40.7245046,-73.9433616,True,False,False,S158247345,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1917097618,CL23822,True,False,Greg,Thornberg,False,
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L2987624,McGolrick Park,2024-01-06 09:10:00,,40.7245046,-73.9433616,True,False,False,S158247345,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1917095778,CL23822,False,False,Greg,Thornberg,False,
amekes,American Kestrel,Falco sparverius,L2987624,McGolrick Park,2024-01-06 09:10:00,,40.7245046,-73.9433616,True,False,False,S158247345,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1917095780,CL23822,False,False,Greg,Thornberg,False,
